Cím,Szerzők,Letöltések
A Hungarian Nabob,"Jókai, Mór",1503
The Baron's Sons: A Romance of the Hungarian Revolution of 1848,"Jókai, Mór",978
Hungarian literature : $b An historical & critical survey,"Reich, Emil",884
The Lock and Key Library: The Most Interesting Stories of All Nations: North Europe — Russian — Swedish — Danish — Hungarian,Ismeretlen,738
"Hungarian Sketches in Peace and War: Constable's Miscellany of Foreign Literature, vol. 1","Jókai, Mór",701
Our Little Hungarian Cousin,"Nixon-Roulet, Mary F.",655
The Village Notary: A Romance of Hungarian Life,"Eötvös, József, báró",646
Hungarian grammar,"Ginever, Charles Arthur, Ginever, Ilona De Györy",576
"Stories by Foreign Authors: Polish, Greek, Belgian, Hungarian",Ismeretlen,540
"Hungarian Rhapsody No. 2, Part 1",Edison Concert Band,139
